"ID tanggapan","Tanggal pengiriman","Halaman terakhir","Bahasa utama","Biji","Tanggal mulai","Tanggal tindakan terakhir","Jenis Kelamin ","Usia","Asal Institusi","Status","Jabatan Akademik","Masa Kerja","Strata","Menurut Anda, hal apa yang pertama kali terlintas di pikiran Anda tatkala mendengar istilah Artificial Intelligent (AI)? ","Sejauh mana Anda memahami kondisi yang menuntut Anda menggunakan AI? ","Sejauh mana Anda memahami penggunaan AI secara bijak dan bertanggung jawab? ","Apakah Anda mengetahui bahwa Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi Tahun 2024 telah menerbitkan dokumen Panduan Penggunaan Generative AI (GenAI) pada Pembelajaran di Perguruan Tinggi? ","Seberapa sering Anda menggunakan aplikasi AI untuk pekerjaan terkait dengan status Anda sebagai Dosen/Tenaga Kependidikan/Mahasiswa? ","Menurut Anda, seberapa besar ketergantungan Anda pada penggunaan AI untuk pekerjaan terkait status Anda? ","Penggunaan AI membantu Anda meningkatkan pemahaman tentang suatu materi/pekerjaan ","Apakah perguruan tinggi Anda memiliki dokumen panduan resmi mengenai penggunaan AI? ","Apakah dokumen panduan AI tersebut secara resmi diterbitkan oleh perguruan tinggi? ","Apakah dokumen panduan penggunaan AI di perguruan tinggi Anda diterbitkan berdasarkan surat keputusan atau surat edaran dari pimpinan (Rektor/Ketua)? ","Kapan dokumen tersebut diterbitkan? ","Apakah dokumen panduan penggunaan AI mencakup aspek etika, seperti anti-plagiarisme, bias algoritmik, atau penyalahgunaan data? ","Apakah ada aturan spesifik mengenai penggunaan AI untuk tugas mata kuliah, skripsi, tesis, disertasi, atau publikasi ilmiah? ","Apakah dokumen panduan penggunaan AI mencantumkan sanksi atau konsekuensi bagi pelanggaran yang dilakukan oleh mahasiswa atau dosen? ","Apakah di perguruan tinggi Anda ada panduan untuk pemanfaatan AI dalam proses administratif dan operasional universitas? ","Apakah panduan tersebut telah disosialisasikan kepada seluruh sivitas akademika (dosen, mahasiswa, staf)? ","Seberapa mudah dokumen tersebut diakses? (Misalnya, tersedia di situs web resmi, hanya di intranet, atau hanya tersedia secara secara printed) ","Apakah perguruan tinggi Anda menyelenggarakan pelatihan atau lokakarya bagi dosen dan mahasiswa tentang penggunaan AI secara bijak dan bertanggung jawab? ","Saya memahami isi dokumen panduan (penggunaan AI yang diterbitkan oleh kampus Saya, atau Panduan Penggunaan AI pada Pembelajaran di Perguruan Tinggi yang diterbitkan oleh Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi Tahun 2024.) ","Menurut Anda, apakah panduan penggunaan AI akan bermanfaat dalam memandu Anda menggunakan AI secara etis dan produktif? ","Panduan tersebut justru terlalu membatasi kreativitas dan inovasi dalam pekerjaan administratif/pembelajaran/penelitian)? ","Menurut Anda, apakah penggunaan AI di lingkungan PTKIN dalam konteks akademik dan administrasi perlu diatur secara formal?","Tuliskan saran/harapan Anda terhadap regulasi penggunaan AI di PTKIN?"
"193","2025-09-17 13:03:25","7","id","1050780370","2025-09-17 12:59:56","2025-09-17 13:03:25","Perempuan","< 20","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Cukup Menjanjikan","Paham","Paham","Tidak","Sangat Sering","Bergantung","Setuju","Tidak",,,,,"Ya","Ya",,,,"Ya",,,,"Perlu","Lebih dibatasi terkait penggunaan nya untuk apa saja"
"194","2025-09-17 13:02:44","7","id","1204720238","2025-09-17 13:00:07","2025-09-17 13:02:44","Laki-laki","20 - 29","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Cukup Menjanjikan","Paham","Paham","Ya","Sering","Tidak Bergantung","Setuju","Tidak",,,,,"Ya","Ya",,,,"Ya","Setuju","Sangat Setuju","Tidak Setuju","Perlu",""
"195","2025-09-17 13:01:40","7","id","16283508","2025-09-17 13:00:20","2025-09-17 13:01:40","Laki-laki","20 - 29","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Sangat Menjanjikan","Sangat Paham","Sangat Paham","Tidak","Sangat Sering","Bergantung","Setuju","Ya","Ya","Tidak",,,"Ya","Ya",,,,"Tidak","Tidak Setuju","Setuju","Setuju","Perlu","-"
"196","2025-09-17 13:04:55","7","id","1032753732","2025-09-17 13:02:04","2025-09-17 13:04:55","Laki-laki","30 - 45","Universitas Islam Negeri Sunan Gunung Djati","Dosen tanpa Tugas Tambahan (DS)","Lektor (L)","> 10 tahun",,"Sedikit Mengkhawatirkan","Paham","Paham","Tidak","Pernah","Tidak Bergantung","Setuju","Tidak",,,,,"Tidak",,"Tidak",,,"Tidak",,,,"Perlu","AI jangan menjadi rujukan Utama"
"198","2025-09-17 13:06:16","7","id","1820576158","2025-09-17 13:03:10","2025-09-17 13:06:16","Laki-laki","30 - 45","Universitas Islam Negeri Sunan Gunung Djati","Dosen dengan Tugas Tambahan (DT)","Lektor Kepala (LK)","> 10 tahun",,"Sangat Menjanjikan","Sangat Paham","Sangat Paham","Tidak","Sangat Sering","Tidak Bergantung","Sangat Setuju","Tidak",,,,,"Tidak",,"Tidak",,,"Ya",,,,"Perlu","Semoga ada pedoman penggunaan AI secara bijak"
"200","2025-09-17 13:08:10","7","id","148201809","2025-09-17 13:04:07","2025-09-17 13:08:10","Laki-laki","46 - 60","Universitas Islam Negeri Sunan Gunung Djati","Dosen dengan Tugas Tambahan (DT)","Lektor (L)","> 10 tahun",,"Sedikit Mengkhawatirkan","Sangat Tidak Paham","Paham","Tidak","Sering","Tidak Bergantung","Setuju","Tidak",,,,,"Tidak",,"Tidak",,,"Tidak",,,,"Perlu","berikan pedoman penggunaan AI sebagai petunjuk  dan batasan yg harus diikuti"
"203","2025-09-17 13:10:41","7","id","1686329025","2025-09-17 13:08:06","2025-09-17 13:10:41","Perempuan","20 - 29","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S2","Cukup Menjanjikan","Paham","Tidak Paham","Tidak","Sangat Sering","Bergantung","Sangat Setuju","Tidak",,,,,"Tidak",,,,,"Tidak",,,,"Sangat Perlu","setiap prodi atau jurusan baiknya memberi pengertian juga arahan dalam pemggunaan AI bagi kami mahasiswa agar kami tidak merasa ragu lagi dalam penggunaannya. "
"204","2025-09-17 13:12:39","7","id","361901534","2025-09-17 13:08:43","2025-09-17 13:12:39","Laki-laki","30 - 45","Universitas Islam Negeri Sunan Gunung Djati","Dosen dengan Tugas Tambahan (DT)","Lektor (L)","> 10 tahun",,"Cukup Menjanjikan","Paham","Paham","Ya","Pernah","Tidak Bergantung","Setuju","Tidak",,,,,"Tidak",,"Tidak",,,"Tidak","Tidak Setuju","Setuju","Tidak Setuju","Perlu","Segera terbitkan kebijakan disetiap PTKIN"
"206","2025-09-17 13:18:53","7","id","771307250","2025-09-17 13:13:59","2025-09-17 13:18:53","Laki-laki","30 - 45","Universitas Islam Negeri Sunan Gunung Djati","Tenaga Kependidikan (Tendik/Staf)",,"5 – 10 tahun",,"Cukup Menjanjikan","Paham","Paham","Tidak","Sering","Tidak Bergantung","Setuju","Tidak",,,,,,,"Tidak",,,"Ya",,,,"Perlu","Ada regulasinya"
"210","2025-09-17 13:21:59","7","id","1477268410","2025-09-17 13:16:59","2025-09-17 13:21:59","Laki-laki","30 - 45","Universitas Islam Negeri Sunan Gunung Djati","Dosen dengan Tugas Tambahan (DT)","Lektor (L)","5 – 10 tahun",,"Sedikit Mengkhawatirkan","Paham","Paham","Ya","Sering","Tidak Bergantung","Setuju","Tidak",,,,,"Ya","Tidak","Tidak",,,"Ya","Setuju","Setuju","Tidak Setuju","Sangat Perlu","Aturan yang akomodatif terhadap perkembangan zaman tetapi tetap membatasi penggunaan AI."
"215","2025-09-17 13:34:16","7","id","327378577","2025-09-17 13:21:08","2025-09-17 13:34:16","Perempuan","< 20","Sekolah Tinggi Agama Islam Negeri Mandailing Natal","Mahasiswa",,,"S1","Cukup Menjanjikan","Paham","Paham","Ya","Pernah","Bergantung","Setuju","Tidak",,,,,"Ya","Tidak",,,,"Tidak","Setuju","Sangat Setuju","Setuju","Perlu","harapannya semoga kedepannya banyak orang menggunakan AI dengan bijak."
"216","2025-09-17 13:25:22","7","id","1477828042","2025-09-17 13:21:44","2025-09-17 13:25:22","Perempuan","< 20","Sekolah Tinggi Agama Islam Negeri Mandailing Natal","Mahasiswa",,,"S1","Cukup Menjanjikan","Sangat Paham","Sangat Paham","Ya","Sering","Bergantung","Sangat Setuju","Ya","Ya","Tidak",,,"Tidak",,,,,"Ya","Setuju","Setuju","Setuju","Perlu","Tidak ada"
"219","2025-09-17 13:32:43","7","id","416590845","2025-09-17 13:29:10","2025-09-17 13:32:43","Perempuan","< 20","Sekolah Tinggi Agama Islam Negeri Mandailing Natal","Mahasiswa",,,"S1","Sedikit Mengkhawatirkan","Paham","Paham","Tidak","Sering","Bergantung","Setuju","Tidak",,,,,"Ya","Tidak",,,,"Tidak",,,,"Perlu","Semoga AI tetap ada karna sangat membantu di dunia pendidikan "
"225","2025-09-17 13:32:54","7","id","1775029984","2025-09-17 13:29:45","2025-09-17 13:32:54","Perempuan","20 - 29","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Sedikit Mengkhawatirkan","Paham","Tidak Paham","Tidak","Sering","Bergantung","Setuju","Tidak",,,,,"Tidak",,,,,"Tidak",,,,"Sangat Perlu","ada tata cara penggunaan secara bijak"
"226","2025-09-17 13:50:12","7","id","532844527","2025-09-17 13:30:03","2025-09-17 13:50:12","Perempuan","46 - 60","Universitas Islam Negeri Sunan Gunung Djati","Dosen tanpa Tugas Tambahan (DS)","Lektor Kepala (LK)","> 10 tahun",,"Sangat Menjanjikan","Sangat Paham","Sangat Paham","Tidak","Sangat Sering","Tidak Bergantung","Sangat Setuju","Tidak",,,,,"Tidak",,"Tidak",,,"Tidak",,,,"Sangat Perlu","Mengacu pada peraturan di tingkat atasnya"
"227","2025-09-17 13:40:41","7","id","554699271","2025-09-17 13:33:12","2025-09-17 13:40:41","Perempuan","< 20","Sekolah Tinggi Agama Islam Negeri Mandailing Natal","Mahasiswa",,,"S1","Sedikit Mengkhawatirkan","Sangat Paham","Paham","Ya","Sering","Tidak Bergantung","Setuju","Ya","Ya","Ya","2023","Ya","Ya","Ya",,,,"Ya","Setuju","Setuju","Setuju","Perlu","Mahasiswa seharusnya Jangan terlalu banyak melakukan penggunaan "
"228","2025-09-17 13:38:47","7","id","1306555548","2025-09-17 13:34:55","2025-09-17 13:38:47","Laki-laki","< 20","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Cukup Menjanjikan","Paham","Sangat Paham","Tidak","Sering","Bergantung","Setuju","Tidak",,,,,"Tidak",,,,,"Tidak",,,,"Tidak Perlu","Dapat digunakan sebijak bijaknya, karena sejatinya AI digunakan sebagai alat bantu untuk mempermudah menyelesaikan suatu masalah, tetapi tidak untuk digunakan secara berlebih untuk kemudahan tanpa usaha"
"229","2025-09-17 13:36:53","7","id","776324520","2025-09-17 13:34:56","2025-09-17 13:36:53","Laki-laki","20 - 29","Universitas Islam Negeri Sunan Gunung Djati","Dosen tanpa Tugas Tambahan (DS)","Asisten Ahli (AA)","< 2 tahun",,"Sangat Menjanjikan","Paham","Paham","Tidak","Sering","Bergantung","Setuju","Tidak",,,,,"Tidak",,"Tidak",,,"Tidak",,,,"Perlu","Gass "
"230","2025-09-17 13:54:47","7","id","650019459","2025-09-17 13:36:35","2025-09-17 13:54:47","Laki-laki","46 - 60","Universitas Islam Negeri Sunan Kalijaga","Dosen dengan Tugas Tambahan (DT)","Lektor Kepala (LK)","> 10 tahun",,"Cukup Menjanjikan","Paham","Paham","Tidak","Sering","Tidak Bergantung","Setuju","Tidak",,,,,"Tidak",,"Tidak",,,"Ya",,,,"Sangat Perlu","Regulasi penggunaan AI semestinya disertai dengan berlangganan dataset yang didapat dipercaya. "
"231","2025-09-17 13:40:52","7","id","1713437690","2025-09-17 13:37:50","2025-09-17 13:40:52","Perempuan","20 - 29","Sekolah Tinggi Agama Islam Negeri Mandailing Natal","Mahasiswa",,,"S1","Cukup Menjanjikan","Sangat Paham","Paham","Tidak","Sering","Bergantung","Setuju","Ya","Ya","Tidak",,,"Tidak",,,,,"Ya","Setuju","Setuju","Setuju","Perlu","Saran saya cukup baik untuk menggunakan AI"
"233","2025-09-17 13:42:28","7","id","2047985564","2025-09-17 13:40:03","2025-09-17 13:42:28","Laki-laki","30 - 45","Universitas Islam Negeri Sunan Gunung Djati","Dosen dengan Tugas Tambahan (DT)","Lektor (L)","> 10 tahun",,"Sangat Menjanjikan","Sangat Paham","Sangat Paham","Ya","Pernah","Tidak Bergantung","Setuju","Tidak",,,,,"Tidak",,"Tidak",,,"Tidak","Sangat Setuju","Sangat Setuju","Sangat Setuju","Sangat Perlu","Perlu ada aturan khusus di perguruan tinggi "
"234","2025-09-17 13:46:34","7","id","1817534471","2025-09-17 13:41:50","2025-09-17 13:46:34","Perempuan","20 - 29","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Sedikit Mengkhawatirkan","Paham","Tidak Paham","Tidak","Sering","Bergantung","Setuju","Tidak",,,,,"Tidak",,,,,"Tidak",,,,"Perlu",""
"236","2025-09-17 13:49:38","7","id","117708772","2025-09-17 13:45:59","2025-09-17 13:49:38","Perempuan","< 20","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Sedikit Mengkhawatirkan","Paham","Paham","Tidak","Sangat Sering","Bergantung","Setuju","Ya","Ya","Ya","2024","Ya","Ya","Ya",,,,"Tidak","Setuju","Setuju","Setuju","Perlu",""
"240","2025-09-17 13:52:27","7","id","274490284","2025-09-17 13:49:27","2025-09-17 13:52:27","Perempuan","30 - 45","Universitas Islam Negeri Sunan Gunung Djati","Dosen tanpa Tugas Tambahan (DS)","Lektor (L)","> 10 tahun",,"Cukup Menjanjikan","Sangat Paham","Sangat Paham","Ya","Pernah","Tidak Bergantung","Setuju","Tidak",,,,,"Tidak",,"Tidak",,,"Tidak","Tidak Setuju","Setuju","Tidak Setuju","Perlu","-"
"241","2025-09-17 13:55:59","7","id","512571381","2025-09-17 13:54:15","2025-09-17 13:55:59","Laki-laki","20 - 29","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S2","Sangat Menjanjikan","Sangat Paham","Sangat Paham","Tidak","Sangat Sering","Sangat Bergantung","Sangat Setuju","Tidak",,,,,"Tidak",,,,,"Tidak",,,,"Sangat Perlu",""
"242","2025-09-17 14:03:40","7","id","72525568","2025-09-17 13:57:49","2025-09-17 14:03:40","Perempuan","46 - 60","Universitas Islam Negeri Sunan Gunung Djati","Dosen dengan Tugas Tambahan (DT)","Guru Besar (GB)","> 10 tahun",,"Cukup Menjanjikan","Paham","Paham","Tidak","Pernah","Tidak Bergantung","Setuju","Tidak",,,,,"Tidak",,"Tidak",,,"Tidak",,,,"Perlu",""
"243","2025-09-17 14:02:26","7","id","1605746919","2025-09-17 13:59:51","2025-09-17 14:02:26","Perempuan","< 20","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Cukup Menjanjikan","Paham","Paham","Tidak","Sering","Bergantung","Sangat Setuju","Tidak",,,,,"Ya","Tidak",,,,"Ya",,,,"Tidak Perlu",""
"244","2025-09-17 14:05:53","7","id","1228810493","2025-09-17 14:03:40","2025-09-17 14:05:53","Perempuan","20 - 29","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Cukup Menjanjikan","Paham","Paham","Tidak","Sangat Sering","Bergantung","Setuju","Tidak",,,,,"Tidak",,,,,"Tidak",,,,"Perlu","Dapat dimanfaatkan dengan bijak"
"246","2025-09-17 14:23:42","7","id","1159293362","2025-09-17 14:20:27","2025-09-17 14:23:42","Perempuan","20 - 29","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Cukup Menjanjikan","Paham","Paham","Ya","Sering","Bergantung","Setuju","Tidak",,,,,"Tidak",,,,,"Ya","Setuju","Setuju","Setuju","Perlu","Bisa semakin paham mengenai teknologi sekarang"
"248","2025-09-17 14:29:51","7","id","214028489","2025-09-17 14:28:14","2025-09-17 14:29:51","Perempuan","46 - 60","Universitas Islam Negeri Sunan Gunung Djati","Tenaga Kependidikan (Tendik/Staf)",,"> 10 tahun",,"Cukup Menjanjikan","Paham","Paham","Tidak","Sering","Bergantung","Setuju","Tidak",,,,,,,"Tidak",,,"Tidak",,,,"Perlu",""
"250","2025-09-17 14:32:52","7","id","646857639","2025-09-17 14:28:26","2025-09-17 14:32:52","Laki-laki","< 20","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Sangat Menjanjikan","Paham","Paham","Ya","Sangat Sering","Sangat Bergantung","Sangat Setuju","Tidak",,,,,"Ya","Ya",,,,"Ya","Setuju","Setuju","Setuju","Perlu","Kebijakan etika pemanfaatan AI di kampus harus mencakup prinsip transparansi, akuntabilitas, dan keterbukaan. Dosen dan tenaga kependidikan perlu dibekali pedoman: kapan dan bagaimana menggunakan GenAI dalam proses akademik."
"255","2025-09-17 14:47:01","7","id","408581907","2025-09-17 14:44:57","2025-09-17 14:47:01","Perempuan","20 - 29","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Sangat Menjanjikan","Paham","Paham","Tidak","Sangat Sering","Sangat Bergantung","Setuju","Tidak",,,,,"Tidak",,,,,"Ya",,,,"Sangat Perlu",""
"257","2025-09-17 14:49:58","7","id","725187438","2025-09-17 14:46:32","2025-09-17 14:49:58","Perempuan","20 - 29","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Sedikit Mengkhawatirkan","Paham","Paham","Tidak","Sangat Sering","Bergantung","Setuju","Tidak",,,,,"Ya","Ya",,,,"Tidak",,,,"Tidak Perlu","dalam penggunaan AI sebaiknya disediakan panduan, terlebih lagi jika dalam proses pembelajaran di kampus perlu menggunakan AI supaya tahu cara menggunakan nya dan memanfaatkannya, karena tidak semua orang memahaminya "
"260","2025-09-17 15:00:37","7","id","1191530416","2025-09-17 14:56:50","2025-09-17 15:00:37","Perempuan","20 - 29","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Sedikit Mengkhawatirkan","Paham","Paham","Tidak","Pernah","Tidak Bergantung","Tidak Setuju","Tidak",,,,,"Tidak",,,,,"Ya",,,,"Perlu","adakan seminar atau arahan untuk penggunaan AI secara bijak"
"261","2025-09-17 15:24:44","7","id","705425337","2025-09-17 15:11:22","2025-09-17 15:24:44","Perempuan","> 60","Universitas Islam Negeri Sunan Gunung Djati","Dosen dengan Tugas Tambahan (DT)","Asisten Ahli (AA)","> 10 tahun",,"Cukup Menjanjikan","Paham","Paham","Ya","Sering","Bergantung","Setuju","Tidak",,,,,"Tidak",,"Tidak",,,"Tidak","Setuju","Setuju","Tidak Setuju","Perlu","REgukasi diharapkan  dapat memberikan rambu-rambu yang jelas, agar pemanfaatannya tidak bertentangan dengan etika akademik"
"262","2025-09-17 15:15:21","7","id","906906227","2025-09-17 15:11:48","2025-09-17 15:15:21","Laki-laki","20 - 29","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Sangat Menjanjikan","Sangat Paham","Sangat Paham","Tidak","Sering","Bergantung","Sangat Setuju","Tidak",,,,,"Ya","Ya",,,,"Ya",,,,"Sangat Perlu","Semoga adanya regulasi penggunaan AI bisa diterapkan secara baik di PTKIN di Indonesia, karena AI juga harus digunakan secara bijak bukan untuk hal-hal yang berbau negatif "
"263","2025-09-17 15:20:27","7","id","130241901","2025-09-17 15:12:28","2025-09-17 15:20:27","Perempuan","< 20","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Sedikit Mengkhawatirkan","Paham","Sangat Paham","Tidak","Sering","Sangat Bergantung","Sangat Setuju","Ya","Tidak","Tidak",,,"Ya","Tidak",,,,"Tidak","Tidak Setuju","Setuju","Sangat Setuju","Perlu","Diharapkan regulasi penggunaan Ai bisa dipahami oleh orang lain agar paham lebih luas dalam persyaratan penggunaan Ai yang baik & benar, juga agar tidak hanya paham dasarnya saja (pengetahuan umum)"
"264","2025-09-17 15:16:22","7","id","1871607787","2025-09-17 15:14:55","2025-09-17 15:16:22","Perempuan","< 20","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Cukup Menjanjikan","Paham","Paham","Tidak","Pernah","Bergantung","Setuju","Tidak",,,,,"Tidak",,,,,"Tidak",,,,"Perlu",""
"273","2025-09-17 19:13:06","7","id","2005270970","2025-09-17 19:05:06","2025-09-17 19:13:06","Laki-laki","30 - 45","Universitas Islam Negeri Sunan Gunung Djati","Dosen tanpa Tugas Tambahan (DS)","Lektor (L)","5 – 10 tahun",,"Sangat Menjanjikan","Sangat Paham","Paham","Tidak","Sangat Sering","Bergantung","Sangat Setuju","Tidak",,,,,"Tidak",,"Tidak",,,"Tidak",,,,"Perlu","

ChatGPT
Anda bilang:
Tuliskan saran/harapan Anda terhadap regulasi penggunaan AI di PTKIN?
ChatGPT bilang:
Baik, berikut contoh saran/harapan yang bisa diajukan terkait regulasi penggunaan AI di PTKIN (Perguruan Tinggi Keagamaan Islam Negeri):

Saran/Harapan terhadap Regulasi Penggunaan AI di PTKIN

Regulasi yang adaptif dan visioner
Regulasi hendaknya tidak hanya bersifat membatasi, tetapi juga memberi ruang bagi inovasi dan pemanfaatan AI dalam pembelajaran, penelitian, dan pengabdian. Aturan yang dibuat harus fleksibel agar dapat menyesuaikan dengan perkembangan teknologi yang sangat cepat.

Etika dan moderasi beragama
Penggunaan AI perlu diarahkan untuk tetap sejalan dengan nilai-nilai Islam, etika akademik, dan prinsip moderasi beragama. Regulasi sebaiknya menegaskan batasan konten yang tidak sesuai dengan nilai PTKIN.

Transparansi dan akuntabilitas
Harus ada panduan jelas tentang bagaimana mahasiswa dan dosen boleh menggunakan AI dalam penulisan akademik, riset, atau pembelajaran, termasuk aturan sitasi dan kejujuran akademik agar tidak terjadi plagiarisme terselubung.

Perlindungan data dan keamanan
Regulasi penting untuk memastikan bahwa penggunaan AI tidak mengorbankan kerahasiaan data mahasiswa, dosen, maupun institusi.

Peningkatan kapasitas SDM
PTKIN sebaiknya menyusun program pelatihan agar dosen dan mahasiswa mampu menggunakan AI secara produktif, kritis, dan etis.

Keadilan akses
Harapannya regulasi tidak hanya mengatur, tetapi juga menjamin akses yang merata terhadap pemanfaatan AI di semua PTKIN, termasuk yang berada di daerah dengan keterbatasan infrastruktur digital."
"274","2025-09-17 19:38:03","7","id","1447544008","2025-09-17 19:31:26","2025-09-17 19:38:03","Laki-laki","30 - 45","Universitas Islam Negeri Sunan Gunung Djati","Dosen dengan Tugas Tambahan (DT)","Lektor (L)","5 – 10 tahun",,"Cukup Menjanjikan","Paham","Paham","Tidak","Pernah","Tidak Bergantung","Setuju","Tidak",,,,,"Tidak",,"Tidak",,,"Ya",,,,"Perlu","Segera hadirkan panduan penggunaan AI. Karena AI bagaikan pedang bermata 2, bisa bahaya jika tidak bijak"
"275","2025-09-17 20:15:31","7","id","639001540","2025-09-17 20:10:15","2025-09-17 20:15:31","Laki-laki","46 - 60","Universitas Islam Negeri Sunan Gunung Djati","Dosen dengan Tugas Tambahan (DT)","Lektor Kepala (LK)","> 10 tahun",,"Cukup Menjanjikan","Paham","Paham","Ya","Sering","Bergantung","Sangat Setuju","Tidak",,,,,"Tidak",,"Tidak",,,"Tidak","Tidak Setuju","Tidak Setuju","Tidak Setuju","Tidak Perlu","Cukup"
"276","2025-09-17 20:19:39","7","id","763300971","2025-09-17 20:10:26","2025-09-17 20:19:39","Laki-laki","46 - 60","Universitas Islam Negeri Sunan Gunung Djati","Dosen tanpa Tugas Tambahan (DS)","Asisten Ahli (AA)","5 – 10 tahun",,"Cukup Menjanjikan","Paham","Paham","Ya","Pernah","Tidak Bergantung","Setuju","Tidak",,,,,"Tidak",,"Tidak",,,"Tidak","Setuju","Setuju","Tidak Setuju","Perlu","Disusun secara bijak dan berkeadilan"
"278","2025-09-17 21:01:12","7","id","482320803","2025-09-17 20:54:42","2025-09-17 21:01:12","Perempuan","46 - 60","Universitas Islam Negeri Sunan Gunung Djati","Dosen tanpa Tugas Tambahan (DS)","Guru Besar (GB)","> 10 tahun",,"Sangat Menjanjikan","Sangat Paham","Sangat Paham","Ya","Sering","Tidak Bergantung","Setuju","Tidak",,,,,"Tidak",,"Tidak",,,"Ya","Setuju","Setuju","Tidak Setuju","Sangat Perlu","Buat panduan dan regulasi ug jelas agar penggunaan AI dlm konteks akademik tetap dapat mengembankan nalar kritis oengguna dan menempatakan AI sbg cara utk mempercepat penyelesaian pekerjaan, bukan pengambil keputusan"
"281","2025-09-17 21:57:12","7","id","483182911","2025-09-17 21:54:42","2025-09-17 21:57:12","Laki-laki","20 - 29","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Sedikit Mengkhawatirkan","Paham","Paham","Tidak","Sering","Tidak Bergantung","Setuju","Tidak",,,,,"Ya","Ya",,,,"Ya",,,,"Perlu","Semoga banyak sosialisasi atau pun pelatihan pemanfaatan ai dengan bijak diseluruh ptkin di Indonesia"
"282","2025-09-17 22:08:13","7","id","42231364","2025-09-17 21:58:00","2025-09-17 22:08:13","Laki-laki","46 - 60","Universitas Islam Negeri Sunan Gunung Djati","Dosen tanpa Tugas Tambahan (DS)","Lektor (L)","> 10 tahun",,"Sangat Menjanjikan","Paham","Paham","Ya","Sering","Tidak Bergantung","Setuju","Ya","Ya","Ya","2025","Ya","Tidak",,"Tidak",,,"Tidak","Setuju","Tidak Setuju","Tidak Setuju","Tidak Perlu","Teknologi AI sudah tidak bisa dibendung, regulasi hanya bisa membatasi hal mana yang harus digunakan. "
"285","2025-09-17 22:11:11","7","id","1840691713","2025-09-17 22:08:12","2025-09-17 22:11:11","Perempuan","46 - 60","Universitas Islam Negeri Sunan Gunung Djati","Dosen tanpa Tugas Tambahan (DS)","Lektor Kepala (LK)","> 10 tahun",,"Sangat Menjanjikan","Paham","Paham","Ya","Sering","Bergantung","Setuju","Tidak",,,,,"Tidak",,"Tidak",,,"Tidak","Setuju","Setuju","Tidak Setuju","Sangat Perlu","aturan diturunkan "
"286","2025-09-17 22:12:39","7","id","1508122381","2025-09-17 22:10:22","2025-09-17 22:12:39","Perempuan","< 20","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Sedikit Mengkhawatirkan","Paham","Paham","Tidak","Sering","Bergantung","Setuju","Tidak",,,,,"Ya","Tidak",,,,"Ya",,,,"Perlu",""
"287","2025-09-17 22:19:50","7","id","1623858730","2025-09-17 22:15:24","2025-09-17 22:19:50","Laki-laki","30 - 45","Universitas Islam Negeri Sunan Gunung Djati","Dosen tanpa Tugas Tambahan (DS)","Lektor Kepala (LK)","> 10 tahun",,"Sangat Menjanjikan","Sangat Paham","Sangat Paham","Ya","Sering","Bergantung","Setuju","Tidak",,,,,"Tidak",,"Tidak",,,"Tidak","Tidak Setuju","Setuju","Tidak Setuju","Perlu","Perlunya disosialisasikan kepada seluruh Civitas akademika spy semua bisa mengikuti regulasinya"
"288","2025-09-17 22:32:07","7","id","208790494","2025-09-17 22:27:39","2025-09-17 22:32:07","Perempuan","< 20","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Cukup Menjanjikan","Sangat Paham","Paham","Tidak","Sangat Sering","Bergantung","Sangat Setuju","Tidak",,,,,"Tidak",,,,,"Ya",,,,"Perlu","PTKIN diharapkan menyediakan pelatihan dan sosialisasi agar civitas akademika memahami cara menggunakan AI secara bijak, produktif, dan sesuai regulasi."
